RealType	NoiseType	Noise	Signal	Order	Freq	Test	UncertaintyMean	UncertaintyDev	UncertaintyMin	UncertaintyMax	ErrorMean	ErrorDev	ErrorMin	ErrorMax	-3.0	-2.8	-2.6	-2.4	-2.2	-2.0	-1.8	-1.6	-1.4	-1.2	-1.0	-0.8	-0.6	-0.4	-0.2	0.0	0.2	0.4	0.6	0.8	1.0	1.2	1.4	1.6	1.8	2.0	2.2	2.4	2.6	2.8	3.0
Intv	Uniform	1.0e-05	Sin	4	7	Roundtrip	1.248e-05	1.618e-06	1.000e-05	1.392e-05	-6.522e-02	2.004e-01	-4.239e-01	3.821e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.188	0.156	0.469	0.156	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-05	Cos	4	7	Forward	1.997e-04	2.589e-05	1.600e-04	2.227e-04	5.228e-02	2.344e-01	-5.913e-01	5.108e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0313	0.125	0.406	0.281	0.0938	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-05	Cos	4	7	Backward	2.533e-04	3.468e-05	1.997e-04	2.839e-04	1.629e-03	4.797e-02	-8.210e-02	8.367e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-05	Cos	4	7	Roundtrip	1.248e-05	1.618e-06	1.000e-05	1.392e-05	-3.481e-03	1.844e-01	-4.695e-01	3.019e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0938	0.156	0.469	0.250	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-04	Slope	4	0	Forward	1.997e-03	2.589e-04	1.600e-03	2.227e-03	3.890e-02	2.000e-01	-2.783e-01	5.870e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.219	0.469	0.219	0.0625	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-04	Slope	4	0	Backward	2.533e-03	3.468e-04	1.997e-03	2.839e-03	3.762e-03	4.033e-02	-7.306e-02	8.250e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-04	Slope	4	0	Roundtrip	1.248e-04	1.618e-05	1.000e-04	1.392e-04	-1.951e-02	1.932e-01	-5.707e-01	3.826e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.0625	0.219	0.406	0.250	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-04	Slope	4	0	Forward	1.997e-03	2.589e-04	1.600e-03	2.227e-03	-5.134e-02	1.763e-01	-3.441e-01	2.877e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.438	0.250	0.250	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-04	Slope	4	0	Backward	2.533e-03	3.468e-04	1.997e-03	2.839e-03	-8.439e-03	3.709e-02	-8.053e-02	6.090e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-04	Slope	4	0	Roundtrip	1.248e-04	1.618e-05	1.000e-04	1.392e-04	2.858e-03	1.952e-01	-4.058e-01	3.786e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.250	0.438	0.156	0.0938	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
